label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
2,0.980145491,0.694818116,6,6.5834E-5,2,5,0.881591108,0,0,0,1,0.249367942
6,-0.153727407,-0.938232039,5,6.5834E-5,2,5,0.881591108,0,0,0,2,0.036854013
2,0.980145491,1.124159915,4,6.5834E-5,2,5,-1.348154637,0,0,0,2,0.309782665
3,0.249997832,0.469116329,2,6.5834E-5,2,5,1.958482843,0,0,0,2,0.309782665
3,-1.271320389,0.103869311,6,6.5834E-5,2,5,-1.569159736,0,0,0,2,0.309782665
1,-0.470572078,-0.588050025,2,6.5834E-5,2,5,0.654722005,0,0,0,1,-0.179496641
2,0.980145491,0.915354336,1,6.5834E-5,2,5,0.881591108,0,0,0,2,1.763889532
3,1.21070672,-0.09653874,6,-0.188578675,2,5,-1.502179301,0,0,0,2,-0.822120591
0,0.249997832,-0.09653874,6,6.5834E-5,2,5,-2.078467939,0,0,0,1,-1.77616793
5,-0.153727407,-1.523900686,2,6.5834E-5,2,5,-0.466642036,0,0,0,3,0.036854013
3,0.980145491,-0.184757606,4,6.5834E-5,2,5,0.881591108,0,0,0,2,-0.926039974
13,0.249997832,1.470050365,5,6.5834E-5,2,5,0.923414747,0,0,0,3,0.291459801
4,0.249997832,1.470050365,5,6.5834E-5,2,5,0.923414747,0,0,0,3,1.763889532
3,-1.654749917,1.124159915,4,6.5834E-5,2,5,-1.348154637,0,0,0,2,-1.375501926
2,0.980145491,1.124159915,4,6.5834E-5,2,5,-1.348154637,0,0,0,2,-1.375501926
3,0.980145491,-2.100362557,1,6.5834E-5,2,5,0.881591108,0,0,0,2,-0.926039974
4,-0.310772803,0.093508099,3,6.5834E-5,2,5,0.374292752,0,0,0,2,0.291459801
3,2.124763205,0.07007669,2,6.5834E-5,2,5,-1.51111639,0,0,0,2,0.309782665
1,0.142707519,-0.09653874,6,6.5834E-5,2,5,1.895000024,0,0,0,1,-1.77616793
0,-0.153727407,-0.09653874,6,6.5834E-5,2,5,-1.569159736,0,0,0,1,-1.77616793
2,1.21070672,0.103869311,1,6.5834E-5,2,5,-1.348154637,0,0,0,2,0.309782665
3,-0.153727407,0.002039029,1,6.5834E-5,2,5,0.654722005,0,0,0,1,-0.926039974
3,-0.563379326,0.103869311,6,6.5834E-5,2,5,1.737054731,0,0,0,2,0.249367942
3,0.249997832,0.103869311,6,6.5834E-5,2,5,-2.078467939,0,0,0,2,0.309782665
3,0.249997832,0.103869311,6,6.5834E-5,2,5,-2.078467939,0,0,0,2,0.309782665
3,0.629824915,-1.854555949,2,6.5834E-5,2,5,-1.504349795,0,0,0,2,0.309782665
2,-1.828890247,-1.935813205,3,6.5834E-5,2,5,-1.836357312,0,0,0,1,-0.926039974
4,0.980145491,-0.09653874,6,6.5834E-5,2,5,-1.348154637,0,0,0,2,0.309782665
4,-1.271320389,0.081594399,2,6.5834E-5,2,5,-1.85936265,0,0,0,2,0.309782665
3,0.249997832,-2.048732385,2,6.5834E-5,2,5,0.737258802,0,0,0,1,-0.926039974
0,0.629824915,-0.09653874,6,-0.188578675,2,5,-1.502179301,0,0,0,1,-0.822120591
3,2.124763205,0.550871485,2,6.5834E-5,2,5,-1.36576728,0,0,0,2,0.309782665
1,0.142707519,0.229193156,2,6.5834E-5,2,5,0.654722005,0,0,0,1,0.309782665
8,0.249997832,-0.184757606,4,6.5834E-5,2,5,-1.348154637,0,0,0,2,-1.375501926
2,0.980145491,1.124159915,4,6.5834E-5,2,5,-1.348154637,0,0,0,2,0.309782665
2,2.124763205,-1.03677951,2,6.5834E-5,2,5,1.549639681,0,0,0,2,0.036854013
1,-1.271320389,0.694818116,6,6.5834E-5,2,5,0.654722005,0,0,0,1,-1.77616793
3,1.785774065,1.523744072,3,6.5834E-5,2,5,0.654722005,0,0,0,1,-0.926039974
3,0.249997832,0.079893514,3,-0.188578675,2,5,0.938203132,2,0,1,1,0.617908519
3,0.142707519,-1.30120867,3,6.5834E-5,2,5,0.654722005,0,0,0,2,0.309782665
3,-1.271320389,0.121191391,1,6.5834E-5,2,5,0.881591108,0,0,0,2,-0.926039974
2,-0.470572078,0.114627568,5,6.5834E-5,2,5,-1.569159736,0,0,0,2,0.309782665
5,-1.271320389,2.017194972,3,6.5834E-5,2,5,0.654722005,0,0,0,2,0.309782665
2,-1.654749917,-2.119828123,1,6.5834E-5,2,5,-1.348154637,0,0,0,1,0.309782665
1,-1.654749917,-2.119828123,1,6.5834E-5,2,5,-1.348154637,0,0,0,1,0.309782665
1,0.980145491,0.103869311,6,6.5834E-5,2,5,1.626483846,0,0,0,1,-1.77616793
4,1.21070672,1.124159915,4,6.5834E-5,2,5,1.805323646,0,0,0,2,0.309782665
2,-0.470572078,1.686588019,3,6.5834E-5,2,5,0.881591108,0,0,0,2,0.309782665
4,-1.654749917,-1.578106491,3,6.5834E-5,2,5,0.881591108,0,0,0,2,0.309782665
4,0.249997832,0.589957032,3,6.5834E-5,2,5,0.881591108,0,0,0,2,-0.926039974
5,0.980145491,-0.184757606,4,6.5834E-5,2,5,1.626483846,0,0,0,2,0.036854013
4,2.124763205,2.017194972,3,6.5834E-5,2,5,0.374292752,0,0,0,2,0.309782665
2,1.116528689,-0.184757606,4,6.5834E-5,2,5,0.654722005,0,0,0,2,-0.926039974
0,0.629824915,0.075445541,6,6.5834E-5,2,5,-1.348154637,0,0,0,1,-1.77616793
7,-0.470572078,0.237829278,5,6.5834E-5,2,5,1.626483846,0,0,0,2,0.036854013
1,0.142707519,0.778721622,6,6.5834E-5,2,5,0.654722005,0,0,0,1,-1.77616793
2,0.142707519,0.075445541,6,6.5834E-5,2,5,0.881591108,0,1,0,1,-2.094088054
3,1.785774065,-0.656680268,3,6.5834E-5,2,5,0.654722005,0,0,0,2,-0.926039974
3,0.629824915,1.124159915,4,6.5834E-5,2,5,-0.817208826,0,0,0,2,0.309782665
1,1.21070672,0.002499228,1,6.5834E-5,2,5,-1.944372459,0,0,0,1,-1.002416822
5,0.629824915,1.470050365,5,6.5834E-5,2,5,-0.086374264,0,0,0,3,0.291459801
